"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"IDC-Header_2x17_P2.54mm_Vertical";1;"BBC 1MHz Bus";;;
2;"G***";"BeebSCSI_Logo_15x8";1;"LOGO";;;
3;"J7";"conn_hdd_15-24-4441";1;"5V Power (HDD)";;;
4;"R2";"R_0402_1005Metric";1;"150R";;;
5;"R1";"R_0402_1005Metric";1;"330R";;;
6;"D2,D1";"LED_0603_1608Metric";2;"LED";;;
7;"U2";"TQFP-64_10x10mm_P0.5mm";1;"XC9572XL-VQ64";;;
8;"J5";"Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical";1;"JTAG-TC";;;
9;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
10;"RN12,RN14,RN18,RN16";"R_Array_Concave_4x0402";4;"220R";;;
11;"RN11,RN13,RN17,RN15";"R_Array_Concave_4x0402";4;"330R";;;
12;"MK2,MK1";"MountingHole_3.2mm_M3_Pad";2;"MountingHole";;;
13;"F3,F2,F1";"Fiducial_0.5mm_Dia_1mm_Outer";3;"Fiducial";;;
14;"J2";"IDC-Header_2x25_P2.54mm_Horizontal";1;"SCSI Drive";;;
15;"C4,C6,C5,C3";"C_0805_2012Metric";4;"100nF";;;
16;"U1";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
17;"R3";"R_0805_2012Metric";1;"2K2";;;
18;"J4";"PinHeader_2x05_P2.54mm_Vertical";1;"JTAG-IDC";;;
19;"C2,C1";"C_1206_3216Metric";2;"10uF";;;
20;"RN8,RN7,RN1,RN2,RN5,RN6,RN3,RN4,RN9,RN10";"R_Array_Concave_4x0402";10;"2K2";;;
