"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MK2,MK1";"MountingHole_3.2mm_M3";2;"MountingHole";;;
2;"J1";"IDC-Header_2x17_P2.54mm_Horizontal";1;"BBC 1MHz Bus";;;
3;"J5";"Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical";1;"JTAG-TC";;;
4;"G***";"BeebSCSI_Logo_15x8";1;"LOGO";;;
5;"PWR1";"conn_hdd_15-24-4441";1;"5V Power (HDD)";;;
6;"R2";"R_0402_1005Metric";1;"150R";;;
7;"R1";"R_0402_1005Metric";1;"330R";;;
8;"D2,D1";"LED_0603_1608Metric";2;"LED";;;
9;"IC1";"TQFP-64_10x10mm_P0.5mm";1;"XC9572XL-VQ64";;;
10;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
11;"RN12,RN14,RN18,RN16";"R_Array_Concave_4x0402";4;"220R";;;
12;"RN11,RN13,RN17,RN15";"R_Array_Concave_4x0402";4;"330R";;;
13;"J2";"IDC-Header_2x25_P2.54mm_Horizontal";1;"SCSI Drive";;;
14;"C1.2,C1.4,C1.3,C1.1";"C_0805_2012Metric";4;"100nF";;;
15;"U2";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
16;"R3";"R_0805_2012Metric";1;"2K2";;;
17;"J4";"PinHeader_2x05_P2.54mm_Vertical";1;"JTAG-IDC";;;
18;"C2.2,C2.1";"C_1206_3216Metric";2;"10uF";;;
19;"RN8,RN7,RN1,RN2,RN5,RN6,RN3,RN4,RN9,RN10";"R_Array_Concave_4x0402";10;"2K2";;;
