Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",62.060000,20.955000,90.000000,top
"C2","100nF","C_0603_1608Metric",42.375000,20.955000,90.000000,top
"IC1","74LS621","SOIC-20W_7.5x12.8mm_P1.27mm",53.825000,24.340000,270.000000,top
"IC2","74LS621","SOIC-20W_7.5x12.8mm_P1.27mm",34.140000,24.340000,270.000000,top
"R1","220R","R_0603_1608Metric",76.934240,15.469920,90.000000,top
"RN1","330R","R_Array_Concave_4x0402",56.405000,16.720000,270.000000,top
"RN2","220R","R_Array_Concave_4x0402",56.405000,14.180000,90.000000,top
"RN3","330R","R_Array_Concave_4x0402",50.055000,16.720000,270.000000,top
"RN4","220R","R_Array_Concave_4x0402",50.055000,14.180000,90.000000,top
"RN5","330R","R_Array_Concave_4x0402",43.010000,16.720000,270.000000,top
"RN6","220R","R_Array_Concave_4x0402",43.010000,14.180000,90.000000,top
"RN7","330R","R_Array_Concave_4x0402",37.315000,16.720000,270.000000,top
"RN8","220R","R_Array_Concave_4x0402",37.315000,14.180000,90.000000,top
"RN9","330R","R_Array_Concave_4x0402",30.330000,16.720000,270.000000,top
"RN10","220R","R_Array_Concave_4x0402",30.330000,14.180000,90.000000,top
"RN11","330R","R_Array_Concave_4x0402",22.710000,16.720000,270.000000,top
"RN12","220R","R_Array_Concave_4x0402",22.710000,14.180000,90.000000,top
